Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,Label
udp,212.50.71.179,39678,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
udp,84.13.246.132,28431,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
tcp,217.163.21.35,80,<?>,147.32.86.194,2063,FA_A,flow=Background
tcp,83.3.77.74,32882,<?>,147.32.85.5,21857,FA_FA,flow=Background
udp,74.89.223.204,21278,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
tcp,66.169.184.207,49372,<?>,147.32.84.229,13363,PA_PA,flow=Background
udp,182.239.167.121,49649,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
tcp,147.32.3.93,443,<?>,147.32.84.59,51790,FPA_FRPA,flow=Background-Established-cmpgw-CVUT
udp,24.117.206.20,8697,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
tcp,94.208.78.74,50687,<?>,147.32.84.229,13363,FPA_RPA,flow=Background
udp,79.129.201.26,56877,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
tcp,147.32.86.194,2065,->,217.163.21.35,80,FSPA_FSPA,flow=Background-TCP-Established
tcp,147.32.80.13,80,<?>,147.32.84.162,51769,PA_A,flow=From-Background-CVUT-Proxy
tcp,74.200.246.228,80,<?>,147.32.84.59,49382,FA_RA,flow=Background-Established-cmpgw-CVUT
tcp,77.238.167.32,80,<?>,147.32.86.194,2060,FA_A,flow=Background
tcp,94.124.104.196,80,<?>,147.32.84.59,49500,PA_FRA,flow=Background-Established-cmpgw-CVUT
tcp,98.127.111.126,51534,<?>,147.32.84.229,13363,FRPA_FPA,flow=Background
udp,123.1.72.4,16562,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
tcp,147.32.84.229,443,<?>,212.217.56.83,58258,PA_PA,flow=Background
tcp,147.32.84.229,443,<?>,213.142.200.29,10004,PA_PA,flow=Background
tcp,147.32.84.229,13363,<?>,93.45.94.195,44977,PA_PA,flow=Background
tcp,147.32.84.229,13363,<?>,83.78.136.90,52573,PA_PA,flow=Background
tcp,147.32.80.13,80,<?>,147.32.85.112,10885,FPA_FA,flow=From-Background-CVUT-Proxy
udp,217.164.10.229,7797,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
tcp,199.59.148.20,443,?>,147.32.84.184,51855,A_,
udp,77.100.246.74,6430,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
udp,58.72.174.152,1769,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
tcp,83.137.254.245,49455,<?>,147.32.84.229,13363,PA_PA,flow=Background
tcp,147.32.84.59,49238,<?>,74.125.232.215,443,PA_PA,flow=Background-Established-cmpgw-CVUT
udp,147.32.84.138,42315,<->,147.32.80.9,53,CON,flow=To-Background-UDP-CVUT-DNS-Server
udp,147.32.84.138,42626,<->,147.32.80.9,53,CON,flow=To-Background-UDP-CVUT-DNS-Server
udp,186.204.215.229,12677,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
udp,147.32.84.229,13363,->,31.9.113.254,23320,INT,
udp,147.32.84.138,58276,<->,147.32.80.9,53,CON,flow=To-Background-UDP-CVUT-DNS-Server
udp,147.32.84.138,58867,<->,147.32.80.9,53,CON,flow=To-Background-UDP-CVUT-DNS-Server
tcp,109.183.212.236,61775,<?>,147.32.84.130,20,FPA_FA,flow=Background
tcp,178.236.4.29,80,?>,147.32.86.141,2019,FA_,
udp,212.59.9.106,15036,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
udp,147.32.84.138,33302,<->,147.32.80.9,53,CON,flow=To-Background-UDP-CVUT-DNS-Server
udp,147.32.84.138,59866,<->,147.32.80.9,53,CON,flow=To-Background-UDP-CVUT-DNS-Server
udp,147.32.86.111,58314,<->,147.32.1.20,53,CON,flow=To-Background-UDP-CVUT-DNS-Server
udp,147.32.84.138,39703,<->,147.32.80.9,53,CON,flow=To-Background-UDP-CVUT-DNS-Server
udp,147.32.84.138,36312,<->,147.32.80.9,53,CON,flow=To-Background-UDP-CVUT-DNS-Server
tcp,79.78.83.0,60676,->,147.32.84.229,443,S_SA,flow=Background-TCP-Established
tcp,213.192.37.130,1108,<?>,147.32.84.229,13363,RPA_RPA,flow=Background
udp,147.32.84.138,42271,<->,147.32.80.9,53,CON,flow=To-Background-UDP-CVUT-DNS-Server
udp,147.32.84.138,44233,<->,147.32.80.9,53,CON,flow=To-Background-UDP-CVUT-DNS-Server
udp,147.32.84.138,37967,<->,147.32.80.9,53,CON,flow=To-Background-UDP-CVUT-DNS-Server
udp,147.32.84.138,42977,<->,147.32.80.9,53,CON,flow=To-Background-UDP-CVUT-DNS-Server
udp,147.32.80.9,53,->,147.32.86.111,54230,INT,
udp,147.32.86.111,55314,<->,147.32.80.9,53,CON,flow=To-Background-UDP-CVUT-DNS-Server
tcp,80.37.198.143,37418,<?>,147.32.84.229,443,PA_PA,flow=Background
tcp,178.236.4.29,80,?>,147.32.86.141,2017,FA_,
tcp,178.236.4.29,80,?>,147.32.86.141,2016,FA_,
udp,72.73.36.9,50360,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
udp,147.32.84.229,13363,<->,76.112.233.145,6601,CON,flow=Background-UDP-Established
udp,147.32.84.229,13363,->,118.168.132.221,53663,INT,
tcp,147.32.84.59,57601,<?>,69.63.190.10,443,FPA_FPA,flow=Background-Established-cmpgw-CVUT
tcp,41.34.128.253,49166,<?>,147.32.84.229,13363,PA_PA,flow=Background
udp,188.134.37.80,7632,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
tcp,92.60.134.17,1058,<?>,147.32.85.5,21857,FPA_FA,flow=Background
tcp,85.32.91.210,16815,<?>,147.32.84.229,443,PA_PA,flow=Background
udp,173.30.59.224,1171,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
udp,118.167.1.65,50960,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
tcp,147.32.84.229,443,<?>,194.179.126.154,65142,PA_PA,flow=Background
udp,147.32.84.229,13363,<->,81.104.184.70,3512,CON,flow=Background-UDP-Established
tcp,147.32.84.229,13363,<?>,145.53.199.214,65267,PA_PA,flow=Background
tcp,147.32.84.229,80,<?>,90.42.60.138,4425,PA_RPA,flow=Background
udp,81.96.196.10,65134,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
tcp,147.32.86.194,2067,->,195.113.232.96,80,FSPA_FSRPA,flow=Background-TCP-Established
udp,77.37.201.25,45141,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
udp,147.32.84.229,13363,<->,216.113.82.229,22903,CON,flow=Background-UDP-Established
tcp,212.170.156.80,22719,<?>,147.32.84.229,443,PA_PA,flow=Background
udp,95.31.15.58,21402,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
udp,86.177.90.166,16655,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
udp,147.32.84.59,6881,<->,188.11.68.124,6881,CON,flow=Background-Established-cmpgw-CVUT
tcp,90.183.101.184,554,<?>,147.32.86.89,3925,PA_PA,flow=Background
tcp,81.12.164.18,1348,<?>,147.32.84.229,443,PA_PA,flow=Background
udp,147.32.84.229,13363,<->,77.85.252.195,63310,CON,flow=Background-UDP-Established
udp,201.243.98.47,33519,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
udp,118.209.60.180,27147,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
udp,77.85.152.108,21377,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
udp,65.189.197.181,28351,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
tcp,147.32.84.229,443,<?>,81.30.240.226,4490,PA_PA,flow=Background
tcp,213.123.60.93,54094,<?>,147.32.84.229,13363,FPA_FPA,flow=Background
udp,84.43.145.215,56122,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
udp,83.55.71.107,45174,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
udp,211.75.185.229,39693,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
tcp,81.6.98.107,18924,<?>,147.32.84.229,443,PA_PA,flow=Background
udp,196.201.203.98,7118,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
udp,80.27.103.28,1658,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
udp,24.228.42.112,53524,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
tcp,74.125.232.215,443,<?>,147.32.85.5,40057,FPA_FPA,flow=Background
tcp,217.203.159.131,57973,<?>,147.32.85.84,13716,FPA_FPA,flow=Background
udp,120.203.91.212,9211,<->,147.32.84.229,13363,CON,flow=Background-UDP-Established
tcp,212.55.237.42,33642,<?>,147.32.84.229,443,PA_PA,flow=Background
udp,147.32.84.146,48609,<->,208.75.88.4,123,CON,flow=Background-UDP-NTP-Established-1
udp,147.32.84.229,13363,<->,90.146.174.188,37240,CON,flow=Background-UDP-Established
tcp,88.102.51.188,1301,->,147.32.87.36,80,FSPA_FSPA,flow=To-Background-CVUT-WebServer
